gender,weight,height
Male,73.847,241.894
Male,68.782,162.31
Male,74.11,212.741
Male,71.731,220.042
Male,69.882,206.35
Male,67.253,152.212
Male,68.785,183.928
Male,68.349,167.971
Male,67.019,175.929
Male,63.456,156.4
Male,71.195,186.605
Male,71.641,213.741
Male,64.766,167.127
Male,69.283,189.446
Male,69.244,186.434
Male,67.646,172.187
Male,72.418,196.029
Male,63.974,172.883
Male,69.64,185.984
Male,67.936,182.427
Male,67.915,174.116
Male,69.439,197.731
Male,66.149,149.174
Male,75.206,228.762
Male,67.893,162.007
Male,68.144,192.344
Male,69.09,184.435
Male,72.801,206.828
Male,67.421,175.214
Male,68.496,154.343
Male,68.618,187.507
Male,74.034,212.91
Male,71.528,195.032
Male,69.18,205.184
Male,69.577,204.164
Male,70.401,192.904
Male,69.076,197.488
Male,67.194,183.811
Male,65.807,163.852
Male,64.304,163.108
Male,67.974,172.136
Male,72.189,194.045
Male,65.27,168.618
Male,66.09,161.193
Male,67.51,164.66
Male,70.105,188.922
Male,68.252,187.061
Male,72.173,209.071
Male,69.18,192.014
Male,72.87,211.342
Male,64.783,165.612
Male,70.184,201.072
Male,68.491,173.424
Male,67.331,181.408
Male,66.991,169.738
Male,66.5,163.31
Male,68.353,189.71
Male,70.774,192.125
Male,71.216,198.198
Male,70.013,209.526
Male,71.403,198.76
Male,69.552,198.08
Male,73.819,195.291
Male,66.997,164.943
Male,71.418,179.864
Male,65.279,155.25
Male,68.274,184.519
Male,72.765,220.678
Male,68.099,183.313
Male,68.897,196.451
Male,69.29,184.596
Male,70.523,207.533
Male,69.664,177.201
Male,67.595,163.108
Male,72.508,216.218
Male,71.253,204.655
Male,71.809,200.921
Male,72.245,220.902
Male,66.513,196.45
Male,66.029,168.641
Male,67.577,181.433
Male,68.247,198.659
Male,73.826,237.917
Male,69.802,173.041
Male,65.96,160.684
Male,71.079,188.603
Male,66.596,208.346
Male,68.952,193.435
Male,68.244,174.11
Male,72.317,197.369
Male,71.815,201.621
Male,65.237,181.012
Male,70.641,182.122
Male,64.732,177.549
Male,67.104,164.975
Male,65.117,165.717
Male,71.701,193.094
Male,66.833,180.684
Male,66.471,172.774
Male,69.412,177.471
Male,70.052,200.819
Male,66.744,167.74
Male,66.274,154.396
Male,68.328,177.985
Male,70.076,183.939
Male,68.733,179.205
Male,67.556,158.568
Male,66.254,166.504
Male,69.182,171.984
Male,67.609,174.364
Male,69.293,187.745
Male,68.191,201.488
Male,71.607,204.927
Male,69.197,178.686
Male,67.262,164.014
Male,73.685,223.27
Male,69.537,202.958
Male,68.312,189.392
Male,67.739,178.171
Male,71.706,223.299
Male,63.632,167.029
Male,68.721,180.469
Male,66.949,164.439
Male,62.707,149.97
Male,72.258,192.91
Male,70.909,201.884
Male,67.61,179.868
Male,70.802,196.468
Male,69.305,187.552
Male,66.243,171.693
Male,67.492,191.7
Male,65.806,165.851
Male,71.444,185.663
Male,68.464,178.282
Male,63.988,150.979
Male,71.002,209.929
Male,68.14,174.158
Male,68.395,179.879
Male,68.096,167.747
Male,68.141,183.045
Male,68.86,169.557
Male,66.149,173.432
Male,66.206,180.89
Male,67.432,183.509
Male,69.471,205.978
Male,70.516,183.76
Male,71.338,201.954
Male,71.002,216.12
Male,66.202,159.39
Male,72.543,210.336
Male,67.479,178.618
Male,65.35,146.74
Male,70.844,195.937
Male,69.938,170.176
Male,64.74,169.654
Male,69.308,198.379
Male,68.838,179.908
Male,61.937,147.264
Male,68.593,176.984
Male,65.219,185.468
Male,64.334,177.494
Male,68.749,169.827
Male,72.49,198.582
Male,67.234,203.35
Male,67.264,193.218
Male,65.119,178.135
Male,66.263,162.78
Male,67.702,159.287
Male,65.531,172.114
Male,69.869,201.837
Male,68.482,170.352
Male,72.214,205.39
Male,68.18,169.788
Male,71.981,200.437
Male,66.065,178.589
Male,66.656,168.014
Male,67.599,177.766
Male,68.246,193.278
Male,64.809,162.38
Male,67.492,183.384
Male,68.181,181.056
Male,69.553,210.872
Male,66.402,165.568
Male,66.592,196.148
Male,71.936,202.046
Male,68.287,170.414
Male,69.955,201.948
Male,71.851,193.387
Male,65.755,179.856
Male,67.032,156.49
Male,76.71,235.035
Male,72.571,230.561
Male,69.729,203.896
Male,72.799,218.216
Male,72.539,222.667
Male,72.295,208.475
Male,67.253,180.78
Male,75.944,231.925
Male,66.316,170.594
Male,71.156,188.271
Male,71.192,196.062
Male,72.198,214.604
Male,75.141,224.124
Male,64.412,158.579
Male,64.734,166.501
Male,63.415,160.141
Male,67.849,176.173
Male,65.932,174.485
Male,70.967,193.906
Male,67.581,186.992
Male,68.589,173.596
Male,70.325,193.347
Male,72.394,208.437
Male,70.821,206.033
Male,65.903,172.575
Male,74.795,232.635
Male,67.681,177.24
Male,67.156,175.647
Male,71.775,212.626
Male,64.665,166.969
Male,68.123,196.414
Male,66.787,165.431
Male,66.806,176.566
Male,67.886,174.652
Male,69.174,195.238
Male,70.225,205.684
Male,64.856,158.341
Male,67.821,169.081
Male,63.44,135.656
Male,71.848,218.157
Male,66.728,155.9
Male,71.968,201.528
Male,76.021,235.926
Male,71.476,195.393
Male,67.37,176.636
Male,70.555,198.46
Male,69.867,185.717
Male,67.948,177.348
Male,74.105,215.76
Male,69.168,187.022
Male,66.557,171.588
Male,66.702,172.84
Male,67.246,168.28
Male,69.051,163.82
Male,70.673,190.023
Male,65.499,156.87
Male,65.187,172.606
Male,67.568,169.064
Male,73.815,231.375
Male,71.607,207.25
Male,67.725,172.153
Male,68.231,199.828
Male,65.929,168.09
Male,71.548,197.82
Male,69.164,196.892
Male,68.598,180.222
Male,71.058,189.134
Male,63.644,158.423
Male,71.182,208.923
Male,66.129,187.141
Male,65.057,157.582
Male,68.091,181.644
Male,70.993,204.747
Male,74.221,231.13
Male,69.327,186.258
Male,64.931,181.094
Male,68.347,198.921
Male,70.929,203.37
Male,61.478,161.029
Male,68.491,189.807
Male,72.05,200.203
Male,72.522,221.863
Male,71.234,214.06
Male,72.259,201.701
Male,67.565,187.187
Male,72.268,196.527
Male,62.6,151.721
Male,66.236,167.298
Male,69.65,198.844
Male,69.286,178.79
Male,70.725,193.539
Male,68.829,197.738
Male,66.014,184.462
Male,66.415,155.195
Male,66.616,160.992
Male,68.035,189.084
Male,70.502,172.986
Male,69.158,195.895
Male,70.795,215.746
Male,65.194,166.707
Male,74.786,239.464
Male,71.067,184.279
Male,69.334,199.984
Male,69.899,191.412
Male,64.425,169.109
Male,67.852,194.745
Male,67.549,183.267
Male,74.767,210.37
Male,71.419,198.042
Male,67.12,172.664
Male,69.86,197.071
Male,68.431,190.506
Male,67.933,184.555
Male,68.495,179.93
Male,65.244,159.503
Male,70.185,197.885
Male,71.104,217.27
Male,68.448,187.907
Male,65.421,176.862
Male,67.701,185.148
Male,74.223,223.308
Male,71.167,206.943
Male,67.231,171.017
Male,67.881,175.223
Male,67.376,173.31
Male,68.761,181.126
Male,71.705,202.609
Male,69.381,199.851
Male,73.717,223.515
Male,69.453,219.262
Male,70.786,211.216
Male,71.768,200.799
Male,69.343,208.81
Male,65.286,161.42
Male,70.922,207.836
Male,68.597,180.831
Male,68.604,176.815
Male,69.479,194.604
Male,65.931,163.008
Male,68.523,173.271
Male,73.929,215.62
Male,71.198,210.135
Male,66.557,185.042
Male,71.742,187.965
Male,69.745,188.181
Male,66.751,179.542
Male,69.692,211.718
Male,70.404,197.692
Male,69.02,186.288
Male,64.732,166.106
Male,70.998,188.812
Male,64.46,161.379
Male,69.75,193.476
Male,71.527,189.282
Male,68.328,207.785
Male,70.765,199.323
Male,71.419,209.858
Male,69.39,180.175
Male,72.002,196.214
Male,69.191,189.439
Male,66.166,165.515
Male,67.272,182.394
Male,70.916,189.558
Male,69.12,189.626
Male,67.409,170.191
Male,72.939,216.097
Male,70.491,177.068
Male,69.008,196.051
Male,66.762,167.7
Male,69.121,179.608
Male,73.126,220.661
Male,67.487,164.295
Male,64.955,156.545
Male,67.782,183.681
Male,67.662,170.305
Male,66.476,168.627
Male,72.987,209.638
Male,69.563,195.346
Male,71.004,194.323
Male,69.916,219.368
Male,71.697,205.162
Male,67.65,178.883
Male,68.296,181.725
Male,68.687,203.56
Male,68.916,165.156
Male,68.961,197.931
Male,67.247,173.284
Male,68.916,183.948
Male,65.839,139.534
Male,64.671,160.189
Male,66.296,163.604
Male,67.098,193.955
Male,66.998,189.893
Male,70.962,184.224
Male,68.421,190.796
Male,67.653,188.201
Male,75.62,226.208
Male,70.549,197.879
Male,68.891,190.513
Male,68.285,176.247
Male,64.995,177.727
Male,65.576,173.692
Male,69.306,210.464
Male,65.705,170.101
Male,67.804,173.46
Male,69.216,184.937
Male,68.015,194.287
Male,61.927,149.15
Male,67.266,192.471
Male,67.677,179.751
Male,69.971,202.863
Male,65.313,163.357
Male,71.906,217.028
Male,66.234,183.161
Male,65.815,166.584
Male,72.845,205.251
Male,70.949,189.703
Male,71.344,218.586
Male,71.056,203.139
Male,61.926,139.905
Male,68.762,196.294
Male,67.584,179.937
Male,67.362,164.146
Male,65.879,168.175
Male,68.695,189.743
Male,69.535,195.17
Male,66.635,190.468
Male,69.81,204.427
Male,68.68,196.152
Male,71.615,209.671
Male,69.69,190.933
Male,70.901,197.945
Male,68.006,186.78
Male,70.616,188.664
Male,71.571,176.377
Male,73.013,209.329
Male,60.748,136.168
Male,69.082,190.935
Male,69.339,191.446
Male,67.757,184.938
Male,76.027,232.313
Male,72.228,201.779
Male,68.921,188.329
Male,65.335,174.656
Male,65.932,183.943
Male,70.467,187.517
Male,73.181,213.847
Male,68.551,175.22
Male,68.529,169.545
Male,63.596,144.592
Male,67.144,175.679
Male,70.816,197.198
Male,73.53,222.926
Male,66.141,165.405
Male,67.907,170.417
Male,71.433,216.634
Male,67.113,173.708
Male,73.284,217.896
Male,63.673,161.013
Male,69.225,193.756
Male,69.67,177.119
Male,70.485,204.827
Male,69.005,176.732
Male,68.458,192.762
Male,66.025,166.961
Male,69.318,186.738
Male,69.078,188.506
Male,73.562,208.361
Male,66.088,161.496
Male,73.526,214.966
Male,69.679,205.133
Male,66.677,183.197
Male,72.962,208.895
Male,68.247,207.926
Male,71.957,210.664
Male,71.059,204.273
Male,66.977,195.199
Male,68.478,190.686
Male,71.284,199.635
Male,64.98,166.822
Male,66.762,178.798
Male,68.766,185.772
Male,68.993,193.755
Male,71.295,228.801
Male,69.049,192.35
Male,66.541,175.983
Male,68.516,176.141
Male,67.46,177.483
Male,71.357,201.761
Male,68.59,176.843
Male,69.736,185.524
Male,69.834,188.041
Male,72.411,189.384
Male,65.435,166.097
Male,66.268,170.25
Male,69.974,212.804
Male,71.209,196.146
Male,69.937,202.279
Male,71.386,201.332
Male,64.589,158.454
Male,68.793,174.489
Male,68.446,183.783
Male,69.202,188.104
Male,69.426,176.193
Male,69.606,194.201
Male,72.882,194.2
Male,62.178,145.899
Male,68.875,191.834
Male,71.08,209.854
Male,72.183,201.261
Male,72.063,208.782
Male,67.38,182.673
Male,67.935,166.435
Male,70.802,193.394
Male,65.549,178.448
Male,70.191,205.942
Male,71.779,199.21
Male,68.13,192.03
Male,68.359,175.261
Male,66.09,170.006
Male,71.58,205.348
Male,73.537,196.043
Male,71.116,208.145
Male,70.794,202.891
Male,71.729,188.595
Male,63.197,162.43
Male,68.101,182.852
Male,65.856,157.317
Male,68.346,178.676
Male,69.56,187.217
Male,68.728,171.621
Male,70.158,200.534
Male,68.923,193.927
Male,64.3,155.49
Male,70.456,192.528
Male,68.624,159.862
Male,69.665,176.259
Male,69.059,171.709
Male,67.227,181.71
Male,66.116,171.387
Male,68.617,179.132
Male,69.249,187.469
Male,69.642,182.005
Male,72.797,214.474
Male,75.044,208.526
Male,70.973,190.222
Male,74.388,217.144
Male,64.362,156.074
Male,71.327,206.385
Male,67.172,178.153
Male,74.402,228.838
Male,63.868,174.473
Male,68.886,164.215
Male,72.132,212.157
Male,68.404,206.015
Male,65.093,167.434
Male,69.23,195.219
Male,71.948,209.175
Male,67.463,182.301
Male,69.313,190.185
Male,63.731,160.345
Male,60.68,129.301
Male,70.663,195.626
Male,67.594,186.751
Male,74.65,227.501
Male,70.467,197.188
Male,71.944,209.556
Male,74.026,209.759
Male,70.782,220.437
Male,64.727,169.208
Male,68.383,185.846
Male,71.469,192.691
Male,66.944,177.026
Male,70.797,199.947
Male,65.292,168.71
Male,61.754,123.528
Male,62.481,160.242
Male,67.806,197.083
Male,69.526,161.971
Male,72.501,201.655
Male,70.485,194.786
Male,66.69,162.565
Male,71.292,175.811
Male,71.797,209.379
Male,73.056,204.46
Male,68.853,210.869
Male,66.045,169.326
Male,73.986,223.326
Male,69.252,192.947
Male,69.341,172.905
Male,70.976,191.572
Male,63.561,157.12
Male,69.77,182.795
Male,65.188,151.887
Male,69.979,193.341
Male,69.751,185.428
Male,71.171,195.382
Male,70.572,174.197
Male,65.651,164.65
Male,67.138,163.845
Male,65.918,174.72
Male,73.787,212.901
Male,67.737,172.794
Male,65.544,171.98
Male,71.214,195.923
Male,65.592,174.815
Male,65.668,174.567
Male,61.973,140.278
Male,73.9,215.56
Male,72.342,215.858
Male,70.312,184.244
Male,67.116,168.202
Male,65.932,151.385
Male,67.228,185.97
Male,70.114,203.242
Male,74.841,223.946
Male,64.527,148.472
Male,70.051,207.195
Male,71.833,205.193
Male,72.837,209.422
Male,73.302,199.167
Male,66.393,165.065
Male,66.515,180.761
Male,69.273,202.299
Male,68.232,195.262
Male,70.414,184.233
Male,69.727,188.454
Male,65.511,157.205
Male,69.137,196.552
Male,73.666,208.366
Male,65.893,158.185
Male,68.354,184.598
Male,70.425,197.908
Male,72.08,202.867
Male,71.711,199.081
Male,65.729,156.224
Male,63.898,168.3
Male,70.316,201.511
Male,65.789,174.585
Male,69.827,196.931
Male,68.331,197.757
Male,67.742,165.643
Male,75.034,232.886
Male,73.404,192.732
Male,69.555,192.182
Male,64.539,157.129
Male,67.547,163.495
Male,73.096,205.158
Male,66.554,171.429
Male,73.992,208.965
Male,70.863,209.759
Male,71.569,206.26
Male,65.838,177.212
Male,70.276,211.716
Male,61.774,149.515
Male,74.825,220.336
Male,71.605,192.428
Male,67.26,163.387
Male,70.924,199.778
Male,75.06,218.584
Male,73.101,223.206
Male,70.662,217.952
Male,67.145,171.208
Male,67.123,147.538
Male,69.525,170.037
Male,65.225,160.836
Male,68.41,185.128
Male,68.763,177.083
Male,67.937,188.884
Male,69.238,159.245
Male,68.466,188.079
Male,65.694,150.961
Male,69.431,172.326
Male,66.135,166.364
Male,70.877,186.34
Male,65.973,187.658
Male,64.939,163.88
Male,68.369,196.95
Male,69.526,189.707
Male,66.456,188.975
Male,69.475,177.344
Male,68.73,184.13
Male,73.781,221.24
Male,76.502,217.882
Male,71.226,199.183
Male,64.506,164.5
Male,66.504,163.27
Male,69.21,187.625
Male,63.546,150.347
Male,69.731,202.707
Male,68.608,181.725
Male,71.464,206.591
Male,69.509,203.985
Male,73.76,231.609
Male,68.278,195.19
Male,72.455,200.29
Male,70.769,195.353
Male,70.452,188.099
Male,68.904,194.66
Male,69.238,197.412
Male,67.278,156.416
Male,71.464,207.769
Male,68.841,171.921
Male,71.406,216.923
Male,70.145,190.585
Male,70.68,206.12
Male,68.541,201.109
Male,71.435,206.594
Male,65.221,158.987
Male,70.773,208.224
Male,69.76,187.812
Male,63.963,168.349
Male,70.304,196.835
Male,70.317,205.522
Male,67.405,164.574
Male,67.122,167.192
Male,68.378,168.997
Male,69.578,184.22
Male,62.532,168.153
Male,69.337,184.119
Male,66.787,172.175
Male,75.391,218.605
Male,70.214,189.658
Male,71.104,196.76
Male,69.794,181.723
Male,66.472,175.389
